,Деревня,Область,Фотография
0,Село Ацагат,Россия,https://ruralisation.ru/images/rurapolises/acagat-_1_.jpg
1,Село Большой Куналей,Россия,https://ruralisation.ru/images/rurapolises/bolshoy_kunalei/kunalei-_4_.jpg
2,Село Десятниково,Россия,https://ruralisation.ru/images/Selo-Desyatnikovo-ili-.jpg
3,Село Тарбагатай,Россия,https://ruralisation.ru/images/rurapolises/tarbagatai-_7_.jpg
4,Суздаль,Россия,https://ruralisation.ru/images/rurapolises/susdal.jpg
5,Деревня Волговерховье (Волгино Верховье),Россия,https://ruralisation.ru/images/rurapolises/Volgoverhovje.jpg
6,Улус Барагхан,Россия,https://ruralisation.ru/images/rurapolises/Baraghan.jpg
7,Улус Харгана,Россия,https://ruralisation.ru/images/rurapolises/Hargana.jpg
8,Улус Ярикта,Россия,https://ruralisation.ru/images/barguzin_yanzhima.jpg
9,Село Посольск,Россия,https://ruralisation.ru/images/rurapolises/Posolsk.jpg
10,Село Шёлтозеро,Россия,https://ruralisation.ru/images/rurapolises/Sholtozero.jpg
11,Коростынь,Россия,https://ruralisation.ru/images/rurapolises/Korostyn.jpg
12,Деревня Садовая,Россия,https://ruralisation.ru/images/rurapolises/sadovaya-1.jpg
13,Деревня Нижмозеро,Россия,https://ruralisation.ru/images/rurapolises/nizhmozero2.jpg
14,Деревня Лядины,Россия,https://ruralisation.ru/images/rurapolises/lyadiny2.jpg
15,Деревня Кянда,Россия,https://ruralisation.ru/images/rurapolises/Kyanda.jpg
16,Деревня Карпова,Россия,https://ruralisation.ru/images/rurapolises/karpova1.jpg
17,Деревня Верхний Березник,Россия,https://ruralisation.ru/images/rurapolises/verkhniy-bereznik1.jpg
18,Село Великое,Россия,https://ruralisation.ru/images/rurapolises/velikoe1.jpg
19,Деревня Архангело,Россия,https://ruralisation.ru/images/rurapolises/arkhangelo1.jpg
20,Деревня Тырышкино,Россия,https://ruralisation.ru/images/rurapolises/tyryshkino-1.jpg
21,Деревня Турчасово,Россия,https://ruralisation.ru/images/rurapolises/turchasovo2.jpg
22,Деревня Семеново,Россия,https://ruralisation.ru/images/rurapolises/semenovo2.jpg
23,Деревня Рыжково,Россия,https://ruralisation.ru/images/rurapolises/ryzhkovo-chasovnya.jpg
24,Село Пурнема,Россия,https://ruralisation.ru/images/rurapolises/purnema5.jpg
25,Деревня Пияла,Россия,https://ruralisation.ru/images/rurapolises/piyala2.jpg
26,Деревня Пежма,Россия,https://ruralisation.ru/images/rurapolises/pezhma.jpg
27,Деревня Качикова Горка,Россия,https://ruralisation.ru/images/rurapolises/kachikova-gorka.jpg
28,Деревня Косицыно,Россия,https://ruralisation.ru/images/rurapolises/kasitsina.jpg
29,Деревня Горбачиха,Россия,https://ruralisation.ru/images/rurapolises/gorbachikha-porzhenskiy-pogost.jpg
30,Деревня Бухалово,Россия,https://ruralisation.ru/images/rurapolises/buhalovo.jpg
31,Деревня Андричево,Россия,https://ruralisation.ru/images/rurapolises/andrichevo.jpg
32,Деревня Кинерма,Россия,https://ruralisation.ru/images/295.jpg
33,Село Смолькино,Россия,https://ruralisation.ru/images/smolkino1.jpg
34,Станица Старочеркасская,Россия,https://ruralisation.ru/images/starocherk1.jpg
35,Село Бураново,Россия,https://ruralisation.ru/images/buranovo1.jpg
36,Хутор Старозолотовский,Россия,https://ruralisation.ru/images/starozol1.jpg
37,Село Старобелокуриха,Россия,https://ruralisation.ru/images/starobelok1.jpg
